Button/Hotkey/AdvancedWeaponryHellbat= /// 
Button/Hotkey/HERC=H /// H
Button/Hotkey/HERC_USD=H /// H
Button/Hotkey/HoverHellbat=R /// R
Button/Hotkey/HoverHellbat_NRS=R /// R
Button/Hotkey/HoverHellbat_SC1=R /// R
Button/Hotkey/HoverHellbat_USD=R /// R
Button/Hotkey/HoverHellbat_USDL=R /// R
Button/Hotkey/HoverSiegeMode=E /// E
Button/Hotkey/HoverSiegeMode_NRS=E /// E
Button/Hotkey/HoverSiegeMode_SC1=E /// E
Button/Hotkey/HoverSiegeMode_USD=E /// E
Button/Hotkey/HoverSiegeMode_USDL=E /// E
Button/Hotkey/HoverUnsiege=D /// D
Button/Hotkey/HoverUnsiege_NRS=D /// D
Button/Hotkey/HoverUnsiege_SC1=D /// D
Button/Hotkey/HoverUnsiege_USD=D /// D
Button/Hotkey/HoverUnsiege_USDL=D /// D
Button/Hotkey/HyperjumpIn=Q /// Q
Button/Hotkey/HyperjumpIn_NRS=Q /// Q
Button/Hotkey/HyperjumpIn_SC1=Q /// Q
Button/Hotkey/HyperjumpIn_USD=Q /// Q
Button/Hotkey/HyperjumpIn_USDL=Q /// Q
Button/Hotkey/HyperjumpOut=Q /// Q
Button/Hotkey/HyperjumpOut_NRS=Q /// Q
Button/Hotkey/HyperjumpOut_SC1=Q /// Q
Button/Hotkey/HyperjumpOut_USD=Q /// Q
Button/Hotkey/HyperjumpOut_USDL=Q /// Q
Button/Hotkey/LiberatorAAMode=F /// F
Button/Hotkey/LiberatorAAMode_USD=F /// F
Button/Hotkey/LoadSubway=L /// L
Button/Hotkey/LoadSubway_NRS=L /// L
Button/Hotkey/LoadSubway_SC1=L /// L
Button/Hotkey/LoadSubway_USD=L /// L
Button/Hotkey/LoadSubway_USDL=L /// L
Button/Hotkey/MagrailMunitions=U /// U
Button/Hotkey/MagrailMunitionsGoliath=U /// U
Button/Hotkey/MagrailMunitionsGoliath_NRS=U /// U
Button/Hotkey/MagrailMunitionsGoliath_SC1=U /// U
Button/Hotkey/MagrailMunitionsGoliath_USD=U /// U
Button/Hotkey/MagrailMunitionsGoliath_USDL=U /// U
Button/Hotkey/MagrailMunitions_NRS=U /// U
Button/Hotkey/MagrailMunitions_SC1=U /// U
Button/Hotkey/MagrailMunitions_USD=U /// U
Button/Hotkey/MagrailMunitions_USDL=U /// U
Button/Hotkey/MorphToHoverHellbat=D /// D
Button/Hotkey/MorphToHoverHellbat_NRS=D /// D
Button/Hotkey/MorphToHoverHellbat_SC1=D /// D
Button/Hotkey/MorphToHoverHellbat_USD=D /// D
Button/Hotkey/MorphToHoverHellbat_USDL=D /// D
Button/Hotkey/MorphToHoverHellion=E /// E
Button/Hotkey/MorphToHoverHellion_NRS=E /// E
Button/Hotkey/MorphToHoverHellion_SC1=E /// E
Button/Hotkey/MorphToHoverHellion_USD=E /// E
Button/Hotkey/MorphToHoverHellion_USDL=E /// E
Button/Hotkey/NovaAlarmBotEMP=E /// E
Button/Hotkey/NovaAlarmBotEMP_NRS=E /// E
Button/Hotkey/NovaAlarmBotEMP_SC1=E /// E
Button/Hotkey/NovaAlarmBotEMP_USD=E /// E
Button/Hotkey/NovaAlarmBotEMP_USDL=E /// E
Button/Hotkey/NovaAlarmBotToggleDetectionVisionModeOff=D /// D
Button/Hotkey/NovaAlarmBotToggleDetectionVisionModeOff_NRS=D /// D
Button/Hotkey/NovaAlarmBotToggleDetectionVisionModeOff_SC1=D /// D
Button/Hotkey/NovaAlarmBotToggleDetectionVisionModeOff_USD=D /// D
Button/Hotkey/NovaAlarmBotToggleDetectionVisionModeOff_USDL=D /// D
Button/Hotkey/NovaAlarmBotToggleDetectionVisionModeOn=D /// D
Button/Hotkey/NovaAlarmBotToggleDetectionVisionModeOn_NRS=D /// D
Button/Hotkey/NovaAlarmBotToggleDetectionVisionModeOn_SC1=D /// D
Button/Hotkey/NovaAlarmBotToggleDetectionVisionModeOn_USD=D /// D
Button/Hotkey/NovaAlarmBotToggleDetectionVisionModeOn_USDL=D /// D
Button/Hotkey/NovaArmorBlinkSuitBlinkStone=B /// B
Button/Hotkey/NovaArmorBlinkSuitBlinkStone_NRS=B /// B
Button/Hotkey/NovaArmorBlinkSuitBlinkStone_SC1=B /// B
Button/Hotkey/NovaArmorBlinkSuitBlinkStone_USD=B /// B
Button/Hotkey/NovaArmorBlinkSuitBlinkStone_USDL=B /// B
Button/Hotkey/NovaCancelTripWire=C /// C
Button/Hotkey/NovaCancelTripWire_NRS=C /// C
Button/Hotkey/NovaCancelTripWire_SC1=C /// C
Button/Hotkey/NovaCancelTripWire_USD=C /// C
Button/Hotkey/NovaCancelTripWire_USDL=C /// C
Button/Hotkey/NovaCreateTripWireMedium=T /// T
Button/Hotkey/NovaCreateTripWireMedium_NRS=T /// T
Button/Hotkey/NovaCreateTripWireMedium_SC1=T /// T
Button/Hotkey/NovaCreateTripWireMedium_USD=T /// T
Button/Hotkey/NovaCreateTripWireMedium_USDL=T /// T
Button/Hotkey/NovaCreateTripWireSmall=Y /// Y
Button/Hotkey/NovaCreateTripWireSmall_NRS=Y /// Y
Button/Hotkey/NovaCreateTripWireSmall_SC1=Y /// Y
Button/Hotkey/NovaCreateTripWireSmall_USD=Y /// Y
Button/Hotkey/NovaCreateTripWireSmall_USDL=Y /// Y
Button/Hotkey/NovaDestroyDrone=D /// D
Button/Hotkey/NovaDestroyDrone_NRS=D /// D
Button/Hotkey/NovaDestroyDrone_SC1=D /// D
Button/Hotkey/NovaDestroyDrone_USD=D /// D
Button/Hotkey/NovaDestroyDrone_USDL=D /// D
Button/Hotkey/NovaEradicatorAssaultMode=W /// W
Button/Hotkey/NovaEradicatorAssaultMode_NRS=W /// W
Button/Hotkey/NovaEradicatorAssaultMode_SC1=W /// W
Button/Hotkey/NovaEradicatorAssaultMode_USD=W /// W
Button/Hotkey/NovaEradicatorAssaultMode_USDL=W /// W
Button/Hotkey/NovaEradicatorFlamethrowerOff=E /// E
Button/Hotkey/NovaEradicatorFlamethrowerOff_NRS=E /// E
Button/Hotkey/NovaEradicatorFlamethrowerOff_SC1=E /// E
Button/Hotkey/NovaEradicatorFlamethrowerOff_USD=E /// E
Button/Hotkey/NovaEradicatorFlamethrowerOff_USDL=E /// E
Button/Hotkey/NovaEradicatorFlamethrowerOn=E /// E
Button/Hotkey/NovaEradicatorFlamethrowerOn_NRS=E /// E
Button/Hotkey/NovaEradicatorFlamethrowerOn_SC1=E /// E
Button/Hotkey/NovaEradicatorFlamethrowerOn_USD=E /// E
Button/Hotkey/NovaEradicatorFlamethrowerOn_USDL=E /// E
Button/Hotkey/NovaEradicatorLaunchMissile=Q /// Q
Button/Hotkey/NovaEradicatorLaunchMissile_NRS=Q /// Q
Button/Hotkey/NovaEradicatorLaunchMissile_SC1=Q /// Q
Button/Hotkey/NovaEradicatorLaunchMissile_USD=Q /// Q
Button/Hotkey/NovaEradicatorLaunchMissile_USDL=Q /// Q
Button/Hotkey/NovaEradicatorMissileMode=W /// W
Button/Hotkey/NovaEradicatorMissileMode_NRS=W /// W
Button/Hotkey/NovaEradicatorMissileMode_SC1=W /// W
Button/Hotkey/NovaEradicatorMissileMode_USD=W /// W
Button/Hotkey/NovaEradicatorMissileMode_USDL=W /// W
Button/Hotkey/NovaEradicatorRailgun=R /// R
Button/Hotkey/NovaEradicatorRailgunFire=F /// F
Button/Hotkey/NovaEradicatorRailgunFire_NRS=F /// F
Button/Hotkey/NovaEradicatorRailgunFire_SC1=F /// F
Button/Hotkey/NovaEradicatorRailgunFire_USD=F /// F
Button/Hotkey/NovaEradicatorRailgunFire_USDL=F /// F
Button/Hotkey/NovaEradicatorRailgun_NRS=R /// R
Button/Hotkey/NovaEradicatorRailgun_SC1=R /// R
Button/Hotkey/NovaEradicatorRailgun_USD=R /// R
Button/Hotkey/NovaEradicatorRailgun_USDL=R /// R
Button/Hotkey/NovaLaunchAlarmBot=V /// V
Button/Hotkey/NovaLaunchAlarmBot_NRS=V /// V
Button/Hotkey/NovaLaunchAlarmBot_SC1=V /// V
Button/Hotkey/NovaLaunchAlarmBot_USD=V /// V
Button/Hotkey/NovaLaunchAlarmBot_USDL=V /// V
Button/Hotkey/NovaLaunchSonarDrone=C /// C
Button/Hotkey/NovaLaunchSonarDrone_NRS=C /// C
Button/Hotkey/NovaLaunchSonarDrone_SC1=C /// C
Button/Hotkey/NovaLaunchSonarDrone_USD=C /// C
Button/Hotkey/NovaLaunchSonarDrone_USDL=C /// C
Button/Hotkey/NovaMothershipInvulnerabilityShieldOff=E /// E
Button/Hotkey/NovaMothershipInvulnerabilityShieldOff_NRS=E /// E
Button/Hotkey/NovaMothershipInvulnerabilityShieldOff_SC1=E /// E
Button/Hotkey/NovaMothershipInvulnerabilityShieldOff_USD=E /// E
Button/Hotkey/NovaMothershipInvulnerabilityShieldOff_USDL=E /// E
Button/Hotkey/NovaMothershipInvulnerabilityShieldOn=E /// E
Button/Hotkey/NovaMothershipInvulnerabilityShieldOn_NRS=E /// E
Button/Hotkey/NovaMothershipInvulnerabilityShieldOn_SC1=E /// E
Button/Hotkey/NovaMothershipInvulnerabilityShieldOn_USD=E /// E
Button/Hotkey/NovaMothershipInvulnerabilityShieldOn_USDL=E /// E
Button/Hotkey/NovaSnipeStone=R /// R
Button/Hotkey/NovaSnipeStone_NRS=R /// R
Button/Hotkey/NovaSnipeStone_SC1=R /// R
Button/Hotkey/NovaSnipeStone_USD=R /// R
Button/Hotkey/NovaSnipeStone_USDL=R /// R
Button/Hotkey/NovaSonarPing=N /// N
Button/Hotkey/NovaSonarPing_NRS=N /// N
Button/Hotkey/NovaSonarPing_SC1=N /// N
Button/Hotkey/NovaSonarPing_USD=N /// N
Button/Hotkey/NovaSonarPing_USDL=N /// N
Button/Hotkey/NovaStoneDefensiveMatrix=D /// D
Button/Hotkey/NovaStoneDefensiveMatrix_NRS=D /// D
Button/Hotkey/NovaStoneDefensiveMatrix_SC1=D /// D
Button/Hotkey/NovaStoneDefensiveMatrix_USD=D /// D
Button/Hotkey/NovaStoneDefensiveMatrix_USDL=D /// D
Button/Hotkey/NovaStoneTargetEMP=Y /// Y
Button/Hotkey/NovaStoneTargetEMP_NRS=Y /// Y
Button/Hotkey/NovaStoneTargetEMP_SC1=Y /// Y
Button/Hotkey/NovaStoneTargetEMP_USD=Y /// Y
Button/Hotkey/NovaStoneTargetEMP_USDL=Y /// Y
Button/Hotkey/NovaStoneTargetEnemy=T /// T
Button/Hotkey/NovaStoneTargetEnemy_NRS=T /// T
Button/Hotkey/NovaStoneTargetEnemy_SC1=T /// T
Button/Hotkey/NovaStoneTargetEnemy_USD=T /// T
Button/Hotkey/NovaStoneTargetEnemy_USDL=T /// T
Button/Hotkey/NovaXanthosLaserChargeOnly=R /// R
Button/Hotkey/NovaXanthosLaserChargeOnly_NRS=R /// R
Button/Hotkey/NovaXanthosLaserChargeOnly_SC1=R /// R
Button/Hotkey/NovaXanthosLaserChargeOnly_USD=R /// R
Button/Hotkey/NovaXanthosLaserChargeOnly_USDL=R /// R
Button/Hotkey/NovaXanthosLaserFire=F /// F
Button/Hotkey/NovaXanthosLaserFire_NRS=F /// F
Button/Hotkey/NovaXanthosLaserFire_SC1=F /// F
Button/Hotkey/NovaXanthosLaserFire_USD=F /// F
Button/Hotkey/NovaXanthosLaserFire_USDL=F /// F
Button/Hotkey/PersonalDefensiveMatrix=W /// W
Button/Hotkey/PersonalDefensiveMatrix_NRS=W /// W
Button/Hotkey/PersonalDefensiveMatrix_SC1=W /// W
Button/Hotkey/PersonalDefensiveMatrix_USD=W /// W
Button/Hotkey/PersonalDefensiveMatrix_USDL=W /// W
Button/Hotkey/PlacePsiEmitter=P /// P
Button/Hotkey/PlacePsiEmitter_NRS=P /// P
Button/Hotkey/PlacePsiEmitter_SC1=P /// P
Button/Hotkey/PlacePsiEmitter_USD=P /// P
Button/Hotkey/PlacePsiEmitter_USDL=P /// P
Button/Hotkey/ResearchHiSecAutoTracking2=H /// H
Button/Hotkey/ResearchHiSecAutoTracking2_NRS=H /// H
Button/Hotkey/ResearchHiSecAutoTracking2_SC1=H /// H
Button/Hotkey/ResearchHiSecAutoTracking2_USD=H /// H
Button/Hotkey/ResearchHiSecAutoTracking2_USDL=H /// H
Button/Hotkey/ResetTurret=X /// X
Button/Hotkey/ResetTurret_NRS=X /// X
Button/Hotkey/ResetTurret_SC1=X /// X
Button/Hotkey/ResetTurret_USD=X /// X
Button/Hotkey/ResetTurret_USDL=X /// X
Button/Hotkey/SOAMothershipLineAttackV2=T /// T
Button/Hotkey/SOAMothershipLineAttackV2_NRS=T /// T
Button/Hotkey/SOAMothershipLineAttackV2_SC1=T /// T
Button/Hotkey/SOAMothershipLineAttackV2_USD=T /// T
Button/Hotkey/SOAMothershipLineAttackV2_USDL=T /// T
Button/Hotkey/Separatist=S /// S
Button/Hotkey/Separatist_NRS=E /// E
Button/Hotkey/Separatist_SC1=S /// S
Button/Hotkey/Separatist_USD=S /// S
Button/Hotkey/Separatist_USDL=E /// E
Button/Hotkey/SiegeTankJumpJet=J /// J
Button/Hotkey/SiegeTankJumpJet_NRS=J /// J
Button/Hotkey/SiegeTankJumpJet_SC1=J /// J
Button/Hotkey/SiegeTankJumpJet_USD=J /// J
Button/Hotkey/SiegeTankJumpJet_USDL=J /// J
Button/Hotkey/SkyTankLaserBeamFast=Q /// Q
Button/Hotkey/SkyTankLaserBeamFast_NRS=Q /// Q
Button/Hotkey/SkyTankLaserBeamFast_SC1=Q /// Q
Button/Hotkey/SkyTankLaserBeamFast_USD=Q /// Q
Button/Hotkey/SkyTankLaserBeamFast_USDL=Q /// Q
Button/Hotkey/SkyTankLaserBeamSlow=W /// W
Button/Hotkey/SkyTankLaserBeamSlow_NRS=W /// W
Button/Hotkey/SkyTankLaserBeamSlow_SC1=W /// W
Button/Hotkey/SkyTankLaserBeamSlow_USD=W /// W
Button/Hotkey/SkyTankLaserBeamSlow_USDL=W /// W
Button/Hotkey/SpiderMine=E /// E
Button/Hotkey/SpiderMineReplenish=T /// T
Button/Hotkey/SpiderMineReplenishReaper=T /// T
Button/Hotkey/SpiderMineReplenishReaper_NRS=R /// R
Button/Hotkey/SpiderMineReplenishReaper_SC1=R /// R
Button/Hotkey/SpiderMineReplenishReaper_USD=R /// R
Button/Hotkey/SpiderMineReplenishReaper_USDL=R /// R
Button/Hotkey/SpiderMineReplenish_NRS=T /// T
Button/Hotkey/SpiderMineReplenish_SC1=T /// T
Button/Hotkey/SpiderMineReplenish_USD=T /// T
Button/Hotkey/SpiderMineReplenish_USDL=T /// T
Button/Hotkey/SpiderMine_NRS=B /// B
Button/Hotkey/SpiderMine_SC1=E /// E
Button/Hotkey/SpiderMine_USD=E /// E
Button/Hotkey/SpiderMine_USDL=B /// B
Button/Hotkey/SuperStimMarauderRedirect=T /// T
Button/Hotkey/SuperStimMarauderRedirect_NRS=I /// I
Button/Hotkey/SuperStimMarauderRedirect_SC1=T /// T
Button/Hotkey/SuperStimMarauderRedirect_USD=T /// T
Button/Hotkey/SuperStimMarauderRedirect_USDL=I /// I
Button/Hotkey/SuperStimMarineRedirect=T /// T
Button/Hotkey/SuperStimMarineRedirect_NRS=I /// I
Button/Hotkey/SuperStimMarineRedirect_SC1=T /// T
Button/Hotkey/SuperStimMarineRedirect_USD=T /// T
Button/Hotkey/SuperStimMarineRedirect_USDL=I /// I
Button/Hotkey/SuperStimReaperRedirect=T /// T
Button/Hotkey/SuperStimReaperRedirect_NRS=I /// I
Button/Hotkey/SuperStimReaperRedirect_SC1=T /// T
Button/Hotkey/SuperStimReaperRedirect_USD=T /// T
Button/Hotkey/SuperStimReaperRedirect_USDL=I /// I
Button/Hotkey/SuperStimpackHellbat=T /// T
Button/Hotkey/SuperStimpackHellbat_NRS=I /// I
Button/Hotkey/SuperStimpackHellbat_SC1=T /// T
Button/Hotkey/SuperStimpackHellbat_USD=T /// T
Button/Hotkey/SuperStimpackHellbat_USDL=I /// I
Button/Hotkey/SuperStimpackMarauder=T /// T
Button/Hotkey/SuperStimpackMarauder_NRS=I /// I
Button/Hotkey/SuperStimpackMarauder_SC1=T /// T
Button/Hotkey/SuperStimpackMarauder_USD=T /// T
Button/Hotkey/SuperStimpackMarauder_USDL=I /// I
Button/Hotkey/SuperStimpackMarine=T /// T
Button/Hotkey/SuperStimpackMarine_NRS=I /// I
Button/Hotkey/SuperStimpackMarine_SC1=T /// T
Button/Hotkey/SuperStimpackMarine_USD=T /// T
Button/Hotkey/SuperStimpackMarine_USDL=I /// I
Button/Hotkey/SuperStimpackReaper=T /// T
Button/Hotkey/SuperStimpackReaper_NRS=I /// I
Button/Hotkey/SuperStimpackReaper_SC1=T /// T
Button/Hotkey/SuperStimpackReaper_USD=T /// T
Button/Hotkey/SuperStimpackReaper_USDL=I /// I
Button/Hotkey/TurnTurret=Z /// Z
Button/Hotkey/TurnTurret_NRS=Z /// Z
Button/Hotkey/TurnTurret_SC1=Z /// Z
Button/Hotkey/TurnTurret_USD=Z /// Z
Button/Hotkey/TurnTurret_USDL=Z /// Z
Button/Hotkey/UnloadAllSubway=D /// D
Button/Hotkey/UnloadAllSubway_NRS=D /// D
Button/Hotkey/UnloadAllSubway_SC1=D /// D
Button/Hotkey/UnloadAllSubway_USD=D /// D
Button/Hotkey/UnloadAllSubway_USDL=D /// D
Button/Hotkey/WarpIn=I /// I
Button/Hotkey/WarpIn_NRS=I /// I
Button/Hotkey/WarpIn_SC1=I /// I
Button/Hotkey/WarpIn_USD=I /// I
Button/Hotkey/WarpIn_USDL=I /// I
Button/Hotkey/WarpOut=O /// O
Button/Hotkey/WarpOut_NRS=O /// O
Button/Hotkey/WarpOut_SC1=O /// O
Button/Hotkey/WarpOut_USD=O /// O
Button/Hotkey/WarpOut_USDL=O /// O
